Open,High,Low,Close,Adj Close,Volume,Changes
7.622499942779541,7.660714149475098,7.585000038146973,7.643214225769043,6.470741271972656,493729600.0,0.0
7.664286136627197,7.699643135070801,7.6160712242126465,7.656428813934326,6.481926441192627,601904800.0,0.17289307580481417
7.656428813934326,7.68678617477417,7.526785850524902,7.534643173217773,6.378823757171631,552160000.0,-1.590632443351514
7.5625,7.5714287757873535,7.466071128845215,7.520713806152344,6.367032051086426,477131200.0,-0.18487095865324932
7.510714054107666,7.5714287757873535,7.466429233551025,7.570713996887207,6.409362316131592,447610800.0,0.6648330467509567
7.599999904632568,7.607142925262451,7.444643020629883,7.503929138183594,6.352822780609131,462229600.0,-0.8821474266637597
7.471070766448975,7.491786003112793,7.372142791748047,7.4185709953308105,6.2805585861206055,594459600.0,-1.137512645454497
7.423929214477539,7.533214092254639,7.289286136627197,7.523213863372803,6.369149208068848,605892000.0,1.4105528963442415
7.503929138183594,7.5164289474487305,7.465000152587891,7.479642868041992,6.332261562347412,432894000.0,-0.5791540174464371
7.533214092254639,7.557143211364746,7.352499961853027,7.354642868041992,6.226436614990234,594067600.0,-1.6712027860859902
7.440357208251953,7.685357093811035,7.401429176330566,7.679999828338623,6.501884937286377,730007600.0,4.423830852622346
7.675356864929199,7.698214054107666,7.482142925262451,7.56178617477417,6.401803970336914,612152800.0,-1.5392403151918477
7.574285984039307,7.618214130401611,7.400356769561768,7.431070804595947,6.291140556335449,608154400.0,-1.7286308704983488
7.385000228881836,7.410714149475098,7.041429042816162,7.0625,5.979109287261963,881767600.0,-4.959861294391043
7.232500076293945,7.310713768005371,7.1496429443359375,7.252500057220459,6.139963150024414,1065699600.0,2.6902662969268576
7.3553571701049805,7.632500171661377,7.235000133514404,7.355000019073486,6.226737976074219,1867110000.0,1.4133052195012485
7.387499809265137,7.520713806152344,7.126070976257324,7.424285888671875,6.285397052764893,1722568400.0,0.9420240573584149
7.318929195404053,7.339285850524902,7.096428871154785,7.117499828338623,6.025672435760498,1173502400.0,-4.132196212990024
7.181428909301758,7.221428871154785,6.794642925262451,6.859285831451416,5.807067394256592,1245952400.0,-3.6278749998576387
6.870357036590576,7.0,6.8321428298950195,6.9546427726745605,5.887795925140381,749876400.0,1.3901876021248594
6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,5.921963214874268,698342400.0,0.5802902349361316
6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,6.023859024047852,615328000.0,1.7206152760495197
7.026071071624756,7.0846428871154785,6.841785907745361,6.85892915725708,5.806765079498291,757652000.0,-3.6038636950781022
6.879642963409424,7.0,6.816071033477783,6.980713844299316,5.909868240356445,850306800.0,1.7755641478434336
6.98892879486084,7.067142963409424,6.9285712242126465,6.932857036590576,5.869354248046875,478270800.0,-0.6855575056671559
7.014999866485596,7.0535712242126465,6.955357074737549,7.006785869598389,5.931939601898193,632886800.0,1.0663545002821628
6.996070861816406,7.021429061889648,6.937857151031494,6.968571186065674,5.899588584899902,370361600.0,-0.5453953388032562
6.960000038146973,7.1339287757873535,6.930714130401611,7.0953569412231445,6.006925106048584,550345600.0,1.8193938437622847
7.075356960296631,7.2014288902282715,6.982142925262451,7.156428813934326,6.058628559112549,655468800.0,0.8607300974015963
7.2121429443359375,7.2746429443359375,7.197143077850342,7.264286041259766,6.149941444396973,543737600.0,1.507137570004602
7.292500019073486,7.296785831451416,7.1735711097717285,7.23392915725708,6.124240398406982,436396800.0,-0.4178921896833887
7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,6.135729789733887,422825200.0,0.18759909348637915
7.209286212921143,7.257143020629883,7.182499885559082,7.202499866485596,6.097632884979248,415469600.0,-0.6209048175126575
7.226428985595703,7.232142925262451,7.11392879486084,7.1578569412231445,6.0598368644714355,390563600.0,-0.6198254229782374
7.142857074737549,7.190357208251953,6.989643096923828,7.0378570556640625,5.95824670791626,575094800.0,-1.6764778416844983
7.0796427726745605,7.194285869598389,7.065713882446289,7.166429042816162,6.0670952796936035,460566400.0,1.8268627244798274
7.049285888671875,7.244999885559082,7.03178596496582,7.214285850524902,6.10761022567749,665126000.0,0.6677915517312449
7.2278571128845215,7.327499866485596,7.214285850524902,7.307857036590576,6.186829566955566,507460800.0,1.297026317010519
7.348214149475098,7.482142925262451,7.337500095367432,7.463929176330566,6.3189592361450195,550093600.0,2.1356758754109917
7.497499942779541,7.5296430587768555,7.419285774230957,7.458929061889648,6.314724922180176,566546400.0,-0.06699037896520377
7.4621429443359375,7.495357036590576,7.42642879486084,7.476070880889893,6.329237937927246,372052800.0,0.2298160883152489
7.474286079406738,7.5328569412231445,7.451070785522461,7.525356769561768,6.370963096618652,366041200.0,0.6592485472262988
7.67642879486084,7.846428871154785,7.6653571128845215,7.819643020629883,6.620106220245361,899620400.0,3.910595338927081
7.857500076293945,7.86035680770874,7.794642925262451,7.824285984039307,6.624035835266113,429889600.0,0.05937564409492779
7.796785831451416,8.035714149475098,7.78178596496582,7.965000152587891,6.743164539337158,920259200.0,1.798428237868932
7.993928909301758,8.052857398986816,7.971428871154785,8.029999732971191,6.79819393157959,596218000.0,0.8160650237047706
7.996786117553711,8.053570747375488,7.975714206695557,8.053570747375488,6.818147659301758,405700400.0,0.2935369263776577
8.120356559753418,8.133213996887207,8.0625,8.092857360839844,6.851409435272217,416323600.0,0.48781608427737044
8.049285888671875,8.053570747375488,7.8660712242126465,7.994286060333252,6.767958164215088,493502800.0,-1.218003680425206
